(70803.3152267035, -171717.42031949983)
(70801.89030897328, -171719.0464057758)
(70801.42299176392, -171721.5421921588)
(70801.136316057, -171724.49121875025)
(70801.10300252355, -171724.46452625035)
(70800.35213533972, -171725.43134644628)
(70799.86798083686, -171726.19921447366)
(70799.52723907337, -171726.49370848626)
(70798.58824348229, -171727.959164536)
(70798.21838050861, -171728.46464214113)
(70798.06497279908, -171728.95292857246)
(70797.91045636145, -171729.18314225037)
(70797.50562309472, -171729.71489390024)
(70797.13312952925, -171730.08265458173)
(70796.94387218513, -171730.29415117772)
(70796.89787958864, -171730.42328925716)
(70796.8633215993, -171730.65247167466)
(70796.66162310688, -171730.74579049146)
(70796.47026589455, -171731.00711079902)
(70796.40177230535, -171731.29699268358)
(70796.30284995012, -171731.5201627342)
(70796.21084795275, -171731.7497424838)
(70796.12688558828, -171731.98794225242)
(70795.90729868606, -171732.18308382793)
(70795.72512511548, -171732.37655006177)
(70795.72512511548, -171732.37655006177)
(70795.53302557515, -171732.72692980227)
(70795.37727633136, -171733.09249264633)
(70794.7901180556, -171733.58647306944)
(70794.56772482835, -171733.8834695953)
(70794.5040859158, -171734.13831093113)
(70794.22689646247, -171734.46696643438)
(70794.05511684965, -171734.77955684657)
(70793.79086473769, -171735.1265950674)
(70793.79086473769, -171735.1265950674)
(70793.5951815372, -171735.52922032954)
(70793.5951815372, -171735.52922032954)
(70793.18318051925, -171736.17897802644)
(70793.06532191674, -171736.45473441045)
(70793.06532191674, -171736.45473441045)
(70793.09040908294, -171736.98175635608)
(70793.09040908294, -171736.98175635608)
(70793.09040908294, -171736.98175635608)
(70793.05073898274, -171737.22061781894)
(70793.05073898274, -171737.22061781894)
(70792.88631522321, -171737.55553545343)
(70792.77371284187, -171737.8764124897)
(70792.77371284187, -171737.8764124897)
(70792.7189496683, -171738.0465552189)
(70792.34148054625, -171738.42399330853)
(70792.34148054625, -171738.42399330853)
(70792.22246685965, -171738.70753723264)
(70791.95065018361, -171739.01169979203)
(70791.62001077585, -171739.35607853305)
(70791.36071685531, -171739.59716678533)
(70791.09439660444, -171739.9701453451)
(70791.09439660444, -171739.9701453451)
(70790.70066376231, -171740.36626215666)
(70790.26660872772, -171740.720576045)
(70790.03935110728, -171741.01114186287)
(70789.88672888289, -171741.26595965028)
(70789.88672888289, -171741.26595965028)
(70789.56853505876, -171741.55318924447)
(70789.1887217636, -171741.94287010582)
(70788.87117337233, -171742.32081130726)
(70788.87117337233, -171742.32081130726)
(70787.97807449345, -171743.2964776851)
